samplename,datapoint,RFU,isSizemarker,location
763,0,12.28276920816227,False,-1
763,1,-37.90712158139772,False,-1
763,2,4.238022279331771,False,-1
763,3,-15.090769014764744,False,-1
763,4,25.300684615324585,False,-1
763,5,63.87030142201897,False,-1
763,6,-11.43887042301703,False,-1
763,7,24.88845063373364,False,-1
763,8,14.80912986858818,False,-1
763,9,10.874339778092406,False,-1
763,10,8.055732029285585,False,-1
763,11,-26.39190602378004,False,-1
763,12,-17.463848452725045,False,-1
763,13,-15.722031633095444,False,-1
763,14,66.07500896177609,False,-1
763,15,65.97433348938698,False,-1
763,16,-28.4736315851241,False,-1
763,17,10.167991981862627,False,-1
763,18,-11.884999149137196,False,-1
763,19,7.4166418645960155,False,-1
763,20,71.08308099815235,False,-1
763,21,63.62814255000525,False,-1
763,22,-4.413442854572419,False,-1
763,23,-59.98059102959024,False,-1
763,24,16.1013823011564,False,-1
763,25,59.4335361832123,False,-1
763,26,27.70337455595854,False,-1
763,27,-19.950454645618375,False,-1
763,28,-10.141909051907199,False,-1
763,29,-14.25294125522399,False,-1
763,30,-1.1286912751831524,False,-1
763,31,63.57950494120449,False,-1
763,32,8.172960907850753,False,-1
763,33,16.196647823402152,False,-1
763,34,-39.940952495806464,False,-1
763,35,14.807518232731427,False,-1
763,36,1.1732754169600228,False,-1
763,37,-34.71708863865207,False,-1
763,38,-37.96962264593838,False,-1
763,39,-9.560349946336338,False,-1
763,40,10.009324005102533,False,-1
763,41,32.06364376902854,False,-1
763,42,41.22907174125098,False,-1
763,43,42.244934096182014,False,-1
763,44,2.919712529759059,False,-1
763,45,39.397989642469824,False,-1
763,46,42.508145925235404,False,-1
763,47,0.7503457647263422,False,-1
763,48,1.5931964175171427,False,-1
763,49,19.766560133864733,False,-1
763,50,14.947611345112335,False,-1
763,51,-27.54734046351898,False,-1
763,52,8.471168964565907,False,-1
763,53,-21.556458640434847,False,-1
763,54,49.66267218056673,False,-1
763,55,-23.198620302616963,False,-1
763,56,-50.884626541475846,False,-1
763,57,23.49461327670662,False,-1
763,58,11.39549362639088,False,-1
763,59,23.56868462999913,False,-1
763,60,-37.553527274248346,False,-1
763,61,4.0221929180611244,False,-1
763,62,24.040176116457292,False,-1
763,63,-12.918843883245978,False,-1
763,64,12.524655934702038,False,-1
763,65,52.096156337917655,False,-1
763,66,-24.179583239540495,False,-1
763,67,-26.182458231924436,False,-1
763,68,-27.27346408203211,False,-1
763,69,19.51028394505398,False,-1
763,70,-31.206896108005648,False,-1
763,71,-10.373398007736508,False,-1
763,72,-67.10912812228268,False,-1
763,73,-11.390649015322186,False,-1
763,74,-16.17082845190507,False,-1
763,75,-6.543212733692661,False,-1
763,76,29.472446760331614,False,-1
763,77,55.16002322818856,False,-1
763,78,-44.605804332163885,False,-1
763,79,12.72060216199251,False,-1
763,80,-9.655662308145324,False,-1
763,81,2.6256992112842577,False,-1
763,82,1.869260432475582,False,-1
763,83,85.71951875022022,False,-1
763,84,13.107917374236736,False,-1
763,85,-10.212058864942163,False,-1
763,86,22.555661323272293,False,-1
763,87,-5.196933104528415,False,-1
763,88,21.77430879510742,False,-1
763,89,12.817376770061625,False,-1
763,90,2.7102725594993045,False,-1
763,91,40.04079115982919,False,-1
763,92,0.9981276044324184,False,-1
763,93,49.85464292885462,False,-1
763,94,-62.75921620366377,False,-1
763,95,14.464343673962201,False,-1
763,96,1.3675261383520236,False,-1
763,97,-19.365965369677618,False,-1
763,98,-15.57913043615798,False,-1
